info,source,game_num
"RoB_the_SloB - 3 x 2, donny34 - 6 x 2, doubleyo7 - 6 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-6 ) .. there were 3, RoB_the_SloB - 6 x 2, donny34 - 6 x 3, doubleyo7 - 3 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-3 ) .. there were 6, RoB_the_SloB - 1 x 3, donny34 - 6 x 3, doubleyo7 - 6 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-6 ) .. there were 4, RoB_the_SloB - 6 x 2, donny34 - 5 x 3, doubleyo7 - 3 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-3 ) .. there were 4, RoB_the_SloB - 6 x 1, donny34 - 4 x 2, doubleyo7 - 2 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-2 ) .. there were 3, donny34 - 6 x 1, doubleyo7 - 5 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-5 ) .. there were 2, donny34 - 2 x 1, doubleyo7 - 5 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-5 ) .. there were 3, donny34 - 6 x 1, doubleyo7 - 1 x 2, donny34 - 4 x 2, liar, doubleyo7 accuses donny34 ( 2 x d-4 ) .. there were 2, doubleyo7 - 1 x 2, donny34 - 4 x 2, doubleyo7 - 4 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-4 ) .. there were 2, doubleyo7 - 6 x 1, donny34 - 3 x 2, liar, doubleyo7 accuses donny34 ( 2 x d-3 ) .. there were 2, doubleyo7 - 6 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-6 ) .. there were 2, donny34 - 3 x 2, doubleyo7 - 5 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-5 ) .. there was 1, doubleyo7 - 5 x 1, donny34 - 6 x 1, doubleyo7 - 4 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-4 ) .. there was 1",funnode-liars-dice-61492.txt,61492
[Site www.FunNode.com],funnode-liars-dice-61493.txt,61493
[P0 doubleyo7],funnode-liars-dice-61493.txt,61493
[P0-Elo 0.0],funnode-liars-dice-61493.txt,61493
[P1 RoB_the_SloB],funnode-liars-dice-61493.txt,61493
[P1-Elo 0.0],funnode-liars-dice-61493.txt,61493
[P2 donny34],funnode-liars-dice-61493.txt,61493
[P2-Elo 0.0],funnode-liars-dice-61493.txt,61493
[Timer Fischer],funnode-liars-dice-61493.txt,61493
[Timers -1 + 0],funnode-liars-dice-61493.txt,61493
[Re-roll false],funnode-liars-dice-61493.txt,61493
[Spot On false],funnode-liars-dice-61493.txt,61493
[Wild Ones false],funnode-liars-dice-61493.txt,61493
[First to play loser],funnode-liars-dice-61493.txt,61493
[Loser loses 1],funnode-liars-dice-61493.txt,61493
"[Result RoB_the_SloB wins in 12 rounds. doubleyo7, donny34 lose]",funnode-liars-dice-61493.txt,61493
